Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Social_Score_missing,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
26,Female,India,Delhi,2.6,26,41.7,17.2,39.7,6,25,165.66,59,34,8.5,55.7,6,6,76.7,0,2,4236.98,4514,1,Q3
58,Male,Japan,Osaka,2.9,19,40.2,8.2,55.8,7,11,94.88,37,86.9,3.9,35,2,2,37.5,0,3,1242.81,1973,0,Q1
44,Male,USA,Phoenix,4.1,1,26.1,11.5,50.2,7,15,84.29,26,70.9,9,12.7,4,2,27.4,0,4,1045.1,909,0,Q2
25,Male,Germany,Berlin,4.3,11,23.6,10.2,64.3,3,8,109.78,32,31.4,0.5,6.7,6,2,15.7,0,4,935.22,1756,0,Q1
37,Male,USA,Houston,7.8,20,35.9,10.3,51.1,2,16,56.64,4,24.1,8.7,22.4,3,2,27.4,1,2,922.59,2660,0,Q1
33,Male,UK,Manchester,5.7,15,21.1,5.1,52.7,5,11,161.09,33,24.5,9.3,12.4,1,2,27.4,1,2,1482.22,0,0,Q1
27,Male,USA,Phoenix,1.8,14,26.8,2.6,73,1,9,162.16,33,0,6.5,24.6,7,5,33.8,0,2,1246.92,1714,0,Q1
52,Male,Canada,Ottawa,5,9,26.8,6.8,65.9,3,10,91.22,10,31.92,2.6,16.4,4,3,38.2,0,2,621.64,2549,0,Q4
54,Male,India,Mumbai,1.1,10,19.4,4.9,57.3,3,5,101.93,29,49.3,3.1,0,7,1,5.3,0,2,576.72,0,0,Q2
30,Other,USA,Houston,0.6,6,26.7,2.3,60.4,3,6,135.31,33,38.2,0,33.5,11,6,12.2,0,3,823.29,2779,0,Q1
44,Male,Germany,Hamburg,4.9,5,9.8,4.3,76.2,0,6,178.41,33,69.36,4.2,6.9,9,1,27.4,1,1,810.87,0,1,Q4
28,Female,UK,London,1.8,0,17.7,2.6,80.9,0,3,71.7,16,47.2,6.4,9,9,0,3.8,0,1,236.52,2145,1,Q1
33,Male,Canada,Toronto,5,9,22.8,9.9,54,3,12,100.61,29,0,10.8,20,4,8,12.6,0,1,1370.49,1392,0,Q3
19,Male,USA,Houston,0.5,21,43.9,9.3,42.1,5,16,108.45,37,51.2,21.2,24.7,2,5,43.7,0,2,1582.63,1933,0,Q1
18,Female,UK,Manchester,1.1,0,11.1,10.4,79.1,2,9,48.85,16,24.9,5.1,20,6,6,29.8,0,4,479.6,1740,1,Q2
31,Male,Germany,Munich,3.5,0,10.7,5.8,86.8,1,2,104.81,14,0,3.4,20,9,1,0,0,3,236.16,1796,1,Q4
46,Male,USA,Chicago,0.8,22,38,13.1,42.1,7,17,101.99,8,82.2,0.3,34.8,2,6,27.4,1,2,1739.64,1706,0,Q2
47,Female,USA,Phoenix,1,21,26.1,10.3,40.7,6,18,158.82,60,66.9,4.1,21.9,4,2,4.8,0,2,3202.11,750,0,Q3
21,Female,India,Bangalore,1.4,4,18.4,5.6,56.3,1,5,207.24,62,53.1,4.6,19.2,6,0,7.2,0,1,917.17,1670,0,Q2
49,Female,Canada,Ottawa,1.5,8,14.9,5.4,68.9,1,7,58.65,12,0,3.1,9,7,1,3.1,0,2,402.3,0,1,Q2
50,Male,UK,Glasgow,3.6,4,19.8,7.6,79.6,2,14,73.78,12,46.2,6.6,15,11,2,27.4,0,1,691.34,0,0,Q4
27,Female,USA,Houston,8.5,2,26.9,5.6,54.5,7,12,114.23,52,37.6,0,28,8,2,27.4,1,1,1215.83,2062,0,Q2
45,Male,Canada,Vancouver,0.3,23,37.8,8.5,45.2,10,16,61.75,6,25,4.6,29.9,6,3,48.6,0,2,956.55,1815,0,Q2
40,Female,USA,Los Angeles,1.9,0,24.3,11.2,63.1,2,8,239.88,6,1.7,6,20,7,1,7.6,0,3,2142.17,2583,1,Q2
27,Female,France,Paris,2.2,7,26.8,8.4,51,5,16,55.03,2,108,4.9,35.5,5,4,24.7,0,3,688.04,2064,0,Q4
31,Female,USA,Houston,0.3,0,5.8,8.1,80,1,4,140.15,9,12.5,11.2,0,4,2,33,0,1,486.92,0,1,Q3
58,Male,Australia,Brisbane,1.6,1,26.8,4.9,80.6,0,5,112.68,20,23.1,5.1,20,8,0,27.4,1,3,519.4,43,1,Q2
27,Male,USA,New York,4.3,12,30.5,7.3,62.1,1,19,117.02,11,32.16,5,22.3,4,2,18.9,0,4,1466.63,2447,0,Q4
33,Male,UK,Manchester,0.9,19,42.5,16.5,34.7,14,29,202.59,9,0,7.6,38.8,3,10,47.1,0,4,4413.36,0,1,Q4
34,Female,Germany,Berlin,2.2,9,24.5,9.4,45.8,4,14,193.71,29,22.2,8.3,20,8,3,26.8,0,3,2370.66,0,1,Q2
41,Female,India,Delhi,1.8,27,58,14.3,27.5,11,23,188.48,79,26.7,16.3,36.9,0,7,78.9,0,2,4018.89,3812,0,Q2
25,Female,Germany,Berlin,4.3,7,17.9,4.8,64.6,2,13,138.68,97,82.44,3.8,7.1,4,5,25.6,0,4,1493.32,2623,1,Q4
39,Male,India,Delhi,5.1,23,41.2,14.3,37.2,0,21,61.83,175,29.5,14.9,41.5,4,5,61.2,0,1,1096.01,4406,0,Q2
29,Male,Japan,Kyoto,0.5,5,14,6.6,56,3,6,105.94,2,65.76,1.5,28.2,7,0,15.8,0,2,466.22,618,0,Q4
18,Male,India,Chennai,3.1,23,42.9,13.5,48.3,10,16,76.18,14,0,1.8,31.7,2,3,48.2,0,5,1098.66,0,0,Q2
58,Female,USA,Houston,4.2,15,28.5,7.4,58.5,1,14,83.29,5,37.32,0,0,4,2,27.8,0,3,959.28,2551,0,Q4
53,Female,Germany,Munich,0.1,28,53.4,12.8,23.5,8,24,140.13,47,0,0,57.4,5,2,46.8,0,3,2752.42,3357,0,Q4
29,Female,France,Nice,2.8,11,36,6.8,47.4,7,11,128.53,1,69.5,0,8.4,8,5,27.4,1,3,1658.46,1475,0,Q1
31,Female,USA,Phoenix,1.4,13,25.9,7.3,58.4,1,11,82.6,1,41.8,0,20.8,10,3,16.3,0,1,800.03,1197,0,Q3
19,Male,UK,Manchester,1.4,7,32.2,10.5,55.6,1,9,95.63,14,21.7,1.3,12,2,3,12,0,2,807.63,1783,1,Q1
55,Male,Canada,Vancouver,4.6,8,26.8,7.4,67.9,2,15,240.61,53,71.6,0,13.7,7,2,34.4,0,2,4060.9,2642,1,Q3
32,Male,UK,Leeds,2.4,0,24.1,6.5,81.8,3,5,113.28,58,46.5,3.2,20,7,2,16.9,0,3,465.87,3506,1,Q1
25,Male,Japan,Tokyo,2.5,0,14,4.5,69,0,6,118.79,20,41.52,3.4,3.9,11,0,0,0,5,662.26,0,1,Q4
46,Female,USA,Los Angeles,1.8,14,23.5,12.1,45.5,6,16,144.5,57,23.5,6.5,0,4,2,33.6,0,3,1867.5,1676,0,Q3
43,Female,USA,Houston,5.4,11,25.8,6.4,46.8,1,8,93.51,3,60.7,8.9,23.7,8,4,14.1,0,2,689,0,0,Q1
41,Female,Germany,Hamburg,5.4,0,5.3,5,85.1,1,8,49.82,15,77.5,15,0,7,1,35.8,0,4,337.65,0,1,Q2
31,Male,Japan,Kyoto,3.2,27,53.3,14.4,41.9,12,24,133.35,29,40.5,6.7,41.1,3,2,78.3,0,1,2871.35,0,0,Q3
37,Male,India,Hyderabad,2.4,12,26.8,6.9,75.7,0,14,194.14,32,27.3,0,11.4,6,2,16.5,0,2,3176.39,477,1,Q2
52,Male,India,Delhi,2.6,5,11.8,8.5,62.2,0,4,176.88,14,32.4,6.3,0.7,6,0,1.5,0,5,801.7,0,1,Q2
51,Female,France,Nice,2.8,21,34.9,13.5,46.3,6,19,151.41,30,19.6,21.3,37.1,3,6,41.4,0,1,2473.71,1554,0,Q3
37,Male,Canada,Vancouver,1.5,7,16.1,8.5,87.5,1,6,99.58,79,0,21.6,8.5,7,0,37.9,0,4,559.69,415,1,Q4
42,Male,USA,Houston,2.5,11,26.8,9,70,3,8,122.71,30,34,12.8,23.9,9,1,25.6,0,2,1003.05,3394,0,Q1
27,Female,UK,Manchester,2.4,1,26.8,3.7,72.8,2,6,111.43,29,51.5,4.3,0,12,2,0,0,3,693.21,654,1,Q3
25,Female,USA,Phoenix,2,10,45,8.6,37,4,18,168.76,4,33.3,7.8,31.6,4,1,39.1,0,3,3421.61,2401,0,Q3
36,Male,Germany,Munich,5.7,12,27.3,8.8,59.1,3,9,79.7,29,0,8.1,7.8,8,1,35.7,0,2,668.11,2395,0,Q1
18,Female,USA,New York,5.9,12,25.2,10.8,46.5,7,26,107.14,13,7.68,9.2,17.6,7,5,43.7,0,4,2552.53,3176,1,Q4
49,Female,USA,New York,1.9,3,26.2,6.7,49.5,1,9,54.33,78,33.4,0.9,14.2,4,4,39.9,0,2,585.58,2736,0,Q3
39,Female,USA,Houston,1.7,28,51.5,14.7,18,10,21,147.45,15,35.7,0.5,36.7,2,11,56.7,0,4,2515.41,2776,0,Q3
32,Other,India,Mumbai,3.3,0,26.8,4.3,73.3,0,4,109.12,82,35.9,8.7,17.2,5,1,8,0,1,378.51,1662,1,Q1
37,Female,France,Paris,3.9,13,33.2,10.9,26.9,7,18,160.98,66,0,3.1,39,2,8,82.2,0,1,2828.67,2395,0,Q2
38,Male,USA,Chicago,7,12,36.1,10.3,22.7,11,17,102.65,3,52.7,0,24.2,4,3,27.4,1,2,1615.77,2739,0,Q3
50,Female,USA,New York,3.5,2,19.1,5,85.6,3,12,124.6,12,52.6,4.1,20,3,1,13.3,0,3,1345.82,2291,0,Q3
53,Male,India,Bangalore,1.2,5,26.4,8.4,82.5,2,8,83.78,14,75.3,8.8,13,2,1,41.9,0,2,798.57,1132,0,Q1
43,Female,USA,New York,6,14,25.8,4.9,55.9,3,13,93.66,58,11,9.3,8.1,5,1,5.7,0,4,1347.6,0,0,Q3
60,Female,India,Delhi,3,17,42.6,11,40,5,29,53.83,6,71,5,43.1,0,8,60.1,0,2,1526.8,4071,1,Q3
20,Female,USA,New York,3.5,15,32.5,11.9,33.6,8,15,135.04,8,49.3,2.3,29.9,7,3,31.7,0,2,1730.97,3853,0,Q1
33,Male,Canada,Calgary,1.7,11,26.8,4.4,67.3,7,10,56.84,10,71.1,8.6,17.3,10,2,35.8,0,3,522.11,268,0,Q3
30,Female,Japan,Yokohama,0.2,5,27.8,8.5,40.9,1,19,144.67,43,63.6,7.8,20,8,6,42.4,0,2,2562.51,0,1,Q4
48,Male,Canada,Montreal,4.1,11,29.9,11.5,52.3,8,20,114.76,63,66.72,8.4,22.7,4,3,27.4,1,4,1971.38,3317,0,Q4
22,Male,USA,Houston,1.7,1,16.6,4.9,91.5,0,1,173.01,2,59.2,1.3,20,8,0,15.8,0,3,173.88,469,1,Q3
18,Female,Canada,Vancouver,1.1,16,25.9,9.7,56.7,3,11,206.66,0,23.6,15.8,25.5,6,4,44.1,0,3,2462.84,700,1,Q2
31,Female,India,Hyderabad,1.2,21,37.9,11.5,29.9,8,16,77.84,9,71.4,14,36.6,5,12,46.4,0,1,1388.37,1838,0,Q1
68,Female,France,Paris,5.5,21,19,9.1,61.7,6,11,62.68,9,0,6.7,7.6,4,4,30.1,0,2,670.21,1851,0,Q2
22,Male,India,Mumbai,2.7,20,41.2,16.5,52.4,0,15,100.91,17,20.1,1.1,33.2,8,4,37.5,0,2,1321.5,4463,1,Q1
37,Male,France,Lyon,6.5,13,15.5,7.3,46.8,2,15,264.81,58,7.1,5.9,14,6,2,0,0,4,4493.64,1267,1,Q1
41,Female,USA,Chicago,1.7,12,19.7,8.9,59.3,4,15,187.85,15,50.6,0.7,24.6,7,4,45.5,0,1,2289.28,1923,1,Q3
38,Male,Canada,Montreal,5.6,6,6.5,7,71.3,3,5,68.84,8,26.8,2.8,18.2,3,1,47.3,0,4,284.38,2142,1,Q1
36,Female,UK,London,3.1,15,38.8,9.6,43.1,3,10,84.44,15,26.1,11.7,17.9,6,4,21.3,0,1,722.95,3590,0,Q1
57,Female,France,Lyon,2.6,11,23.8,6.7,64.3,3,17,93.85,18,37.1,0.9,13.1,9,3,25.5,0,2,1365.52,0,0,Q2
31,Male,Canada,Ottawa,3.4,27,39.1,12.2,30.8,9,23,187.68,34,49.8,1.2,31.5,0,7,51.3,0,3,4396.42,3568,0,Q2
31,Female,France,Marseille,2.9,18,52.1,15.2,49.2,6,18,61.46,5,59.8,22.2,42.2,2,5,62.6,0,1,938.49,3380,0,Q3
23,Male,USA,Phoenix,5.3,15,22.8,8,53.2,2,7,87.04,47,59.1,12.3,14.7,6,0,27.4,1,2,576.36,1953,0,Q2
32,Female,UK,Glasgow,2.2,0,29.9,7.8,54.9,0,12,146.75,14,10.3,8.4,33.9,4,3,20.9,0,2,1896.8,2269,0,Q2
34,Male,UK,Glasgow,6.1,3,13.1,5.1,64.2,2,6,120.71,35,24.84,4.4,10.4,4,2,28.1,0,3,593.27,1447,0,Q4
18,Male,USA,Chicago,2.5,3,18.6,4.7,60.4,3,9,55.96,86,15.2,8,23.2,10,2,21.8,0,3,475.81,1131,1,Q2
29,Male,USA,Phoenix,2.7,4,19.7,5.8,71.2,2,10,77.38,82,36.8,8.9,9.8,3,3,27.4,1,3,691.44,2177,1,Q2
32,Male,USA,Chicago,0.6,9,30.9,8.5,69,3,18,163.56,96,13.7,3.2,9.4,5,4,53.1,0,1,3477.27,3228,1,Q2
55,Female,USA,Houston,2.2,20,35.1,9.8,30.2,0,37,172.59,69,55.08,7.4,28.5,4,8,41.4,0,3,4358.91,2752,0,Q4
25,Female,Germany,Munich,1.2,3,26.8,2.1,79.4,0,8,93.99,4,94.6,11.3,0,6,0,28.3,0,2,787.15,449,1,Q3
37,Male,France,Paris,3.6,17,23,10.1,51.5,2,14,109.03,29,37.2,4,26.2,6,2,41.9,0,2,1365.94,3776,0,Q4
22,Male,France,Marseille,1.2,11,20.5,6.1,51.9,6,15,62.63,3,52.92,6.5,12.6,6,1,12.1,0,1,675.62,1176,0,Q4
37,Female,Canada,Toronto,0.8,22,42.1,17.5,41.7,0,17,105.54,63,8.7,8.2,20.1,5,5,27.4,1,2,2087.25,4403,0,Q3
29,Female,USA,Chicago,4.5,17,48.1,14.2,47.8,9,26,89.46,4,32.1,6.9,28.6,3,4,48.6,0,3,2603.6,3762,0,Q2
40,Male,Australia,Brisbane,1.4,12,25.5,7.5,65.5,1,7,99.75,1,56.8,4.9,0,8,2,0,0,2,724.1,2285,0,Q1
29,Male,India,Bangalore,1,0,21.1,3.5,71.2,0,4,82.97,37,38.9,0,1.3,8,1,27.4,1,3,319.19,1461,1,Q2
35,Female,UK,Glasgow,3,11,20.8,8.1,65,0,8,106.57,8,7.8,2.1,23.4,3,3,7.4,0,4,909.1,2894,0,Q3
30,Male,France,Lyon,1.4,13,43.8,15.8,40.8,9,21,79.44,52,67.1,0,33.1,2,6,59,0,3,1682.95,4375,0,Q3
53,Female,USA,Los Angeles,0.7,5,17.5,6.4,85.5,2,11,59.42,23,11.4,8,6.7,10,1,0,0,1,569.92,0,1,Q1
34,Male,UK,Leeds,0.9,14,26.8,12.6,67.1,8,15,184.12,58,52.3,3.6,12.6,6,5,15.6,0,2,3005.08,1927,1,Q2
48,Female,UK,London,0.7,12,18.4,6.1,70.6,2,10,79.99,4,39.9,8.9,26,7,2,33.2,0,2,828.51,1112,0,Q2
45,Male,USA,Chicago,2.6,10,13.9,4.6,54.5,0,5,118.66,17,11.2,9.1,8.7,3,2,21.1,0,2,566.59,0,0,Q3
54,Male,USA,Chicago,2,1,23.6,9.7,83.5,3,13,99.07,48,51.5,6.2,6.9,6,2,15.6,0,3,1077.28,1336,1,Q2
37,Male,Canada,Montreal,5.1,3,20.3,4.4,70.5,2,5,173.46,29,36.2,3.7,20,10,1,3.1,0,2,744.1,1214,0,Q2
43,Male,Canada,Toronto,3.8,11,7.9,3.3,88.6,1,2,212.58,5,20.9,14.6,11.9,14,1,20.8,0,1,349.94,0,1,Q1
25,Female,Canada,Vancouver,5.5,20,30.6,9.6,41.7,3,15,181.08,18,14.2,4.5,25.1,3,9,12.6,0,2,2536.64,2349,0,Q1
37,Female,UK,Leeds,5.9,0,26.8,9,62.9,3,6,124.09,14,64,0,0,8,0,0,0,3,814.41,1172,0,Q1
35,Female,USA,Houston,3.8,2,13.9,3.9,74.7,0,6,201.09,3,52.2,0.8,6.4,7,2,8.5,0,2,1359.9,0,0,Q2
33,Female,USA,New York,4.1,7,20,5.1,79.1,3,7,90.53,14,31.32,2.4,0,9,1,17,0,1,645.93,1815,0,Q4
38,Male,USA,Los Angeles,1.9,8,31.3,8.5,53.4,4,10,141.63,42,83.7,14.5,20,6,5,39,0,4,1686.71,1941,0,Q2
41,Male,India,Mumbai,1.4,12,40.5,6.1,59.2,0,15,72.12,16,45.2,4.5,19.9,7,5,22.3,0,2,1026.09,2681,0,Q2
46,Male,Canada,Calgary,2.5,0,26.8,4.8,67.5,0,4,117.3,1,43.8,6.6,12,6,1,9.8,0,2,453.18,2337,0,Q3
20,Female,France,Paris,1.8,11,16.7,6.6,70.2,1,5,54.08,29,36.72,1.6,0,6,0,18.6,0,5,182.56,2244,1,Q4
25,Female,USA,New York,0.5,19,47,15.4,24.6,8,21,107.23,57,23,6.6,44.5,7,3,54.3,0,2,2172.57,2474,1,Q3
37,Female,USA,Houston,7.3,1,14.3,2.5,89.7,0,3,125.77,5,16.6,8.4,0,9,0,0,0,1,389.79,0,1,Q1
43,Male,France,Marseille,4.1,2,26.8,4.6,65.4,3,4,125.66,73,51.7,8.8,9.2,5,0,0,0,1,532.29,1374,1,Q2
59,Male,UK,London,1.9,19,31.2,15.2,59.2,6,31,103.27,24,0,15.4,39.5,4,2,25.3,0,5,2072.21,2851,0,Q4
49,Male,Japan,Tokyo,3.4,25,27.5,14.2,30.5,3,14,7809.072781,66,35.6,1.3,33.8,8,2,42.2,0,1,1710.96,0,0,Q2
44,Male,France,Paris,4.9,16,35.7,13.4,57.5,4,22,108.09,14,78.24,0,31.3,4,0,38.5,0,1,2041.58,4124,0,Q4
28,Male,USA,Chicago,9.8,16,23.8,8.9,64,0,12,269.27,38,33.5,8.1,27.5,6,5,60.6,0,2,3623.93,1659,1,Q2
34,Other,USA,Chicago,1.5,22,40.8,14.7,39.1,9,19,120.62,56,20.8,9.3,21.8,2,2,68.1,0,5,2415.29,2939,0,Q2
18,Female,France,Paris,2.1,12,20.2,8.5,57.6,4,19,158.57,32,40.2,1.2,7.1,5,4,41.8,0,2,2744.36,3132,0,Q4
32,Male,Australia,Melbourne,4.1,25,26.8,11.5,32.9,9,13,94.5,24,9.1,0,26.8,3,4,51.4,0,2,1443.9,3382,0,Q3
33,Male,USA,Chicago,5.3,9,23.5,6.5,53.5,4,10,172.13,87,0,3.3,20.7,6,2,13.4,0,2,1141.83,2142,0,Q4
36,Male,USA,Los Angeles,1.1,15,24.2,9.5,57.8,4,13,112.39,13,14.4,4.3,14.3,7,5,20.2,0,1,1574.63,0,0,Q2
36,Male,USA,Phoenix,3,14,42.9,12.6,37.8,8,19,79.05,8,0,10.8,28.6,3,2,42.4,0,2,1268.16,2588,0,Q4
42,Male,USA,New York,1.9,23,30.1,9.2,23.2,6,15,129.33,8,15,0.6,46.8,9,6,27.4,1,3,1684.49,3554,0,Q3
46,Female,USA,Houston,1,14,32.6,7.6,68.2,4,12,133.68,31,51.6,9.7,31.8,5,4,17.9,0,2,1687.28,3983,0,Q2
30,Male,Canada,Montreal,8.7,5,36.2,9,55.9,1,9,163.95,7,25.6,5.4,39.5,9,3,35.9,0,3,1591.27,698,0,Q1
18,Male,USA,Phoenix,3.3,1,26.8,3.7,94.2,1,12,148.17,58,39.6,17.5,16.7,10,0,0,0,4,1470.55,0,1,Q2
26,Female,UK,Leeds,10,10,21.9,3.8,61.8,2,10,161.14,10,73.8,12.9,32,6,1,27.4,1,2,1393.08,1458,0,Q4
59,Female,Japan,Nagoya,1.9,12,12.8,4.1,59.1,1,6,119.95,2,43.56,6.8,0,6,3,0,0,1,573.36,1160,0,Q4
25,Male,Japan,Osaka,1.2,24,48.8,9.7,28.2,11,18,104.41,6,40.2,1.1,27.1,1,7,58,0,2,1838.95,1887,0,Q1
32,Female,USA,Phoenix,2.6,0,11.7,3,74.6,1,7,146.49,18,49.7,1.6,13.7,4,0,0,0,1,837.87,1634,0,Q1
35,Male,USA,Houston,3.5,1,13,8.5,68.5,1,10,52.47,59,11.6,4.5,18,10,3,6.4,0,5,610.15,1825,1,Q3
37,Female,Germany,Hamburg,1.2,0,18.8,3.9,69.4,0,3,119.89,0,70.9,0.1,11.3,11,0,18.6,0,1,406,835,0,Q1
43,Female,UK,Manchester,2.4,2,10.7,4.8,91.6,0,3,156.91,85,27.72,6.8,19.8,6,2,27.4,1,3,382.35,1011,1,Q4
49,Male,Canada,Vancouver,6.9,1,10.3,7.3,40.8,0,11,133.54,2,54.7,2.9,1.8,10,1,6.4,0,3,1674.27,116,1,Q2
39,Male,UK,London,1.1,28,52.3,13.3,27.6,12,29,143.24,71,9.2,16.1,47.9,2,5,66,0,2,3596.08,3223,0,Q3
23,Male,USA,Phoenix,1,14,31,8.4,44.9,4,9,175.28,47,18.6,8.6,14.8,4,4,40.5,0,1,1833.66,2637,1,Q1
47,Female,Australia,Adelaide,0.1,14,23.7,8.5,56.1,5,11,133.19,62,48.1,0,32.5,6,3,15.6,0,3,1300.6,2264,0,Q2
26,Female,USA,Houston,1.5,3,17.2,8.5,64.8,0,5,111.21,47,0,1.8,20,5,0,40.1,0,2,469.07,0,1,Q4
26,Female,India,Bangalore,0.1,6,27.2,5.6,53.9,6,20,79.69,18,17.4,4.9,16.1,4,4,45.6,0,1,1375.76,1117,0,Q4
30,Female,USA,Phoenix,1.8,11,27.3,4.7,57.1,1,9,123.82,95,42.1,6.4,11.9,6,1,0,0,2,1002.06,638,0,Q3
50,Male,UK,Manchester,0.7,0,16.1,2.7,88.5,0,6,97.82,67,21,8,19.1,4,2,6.1,0,4,652.5,1292,1,Q1
25,Female,Japan,Kyoto,2.2,11,18.5,5.3,52.4,0,11,69.94,44,46.56,5.8,26.2,9,2,2.9,0,1,547.5,1832,0,Q4
40,Male,USA,Houston,5.9,1,11.1,3.5,79.3,3,13,112.32,17,16,6.5,6.7,8,1,21.2,0,3,1677.49,0,1,Q1
27,Male,UK,Birmingham,3.9,7,17.7,8.6,55.1,3,9,166.13,29,38.3,0.4,15.7,6,4,40.7,0,3,1564.06,737,0,Q3
45,Female,Australia,Sydney,3.2,33,52,18.4,0,9,25,68.64,27,58.7,2.2,63.8,0,6,27.4,1,1,1806.69,0,0,Q1
21,Male,USA,Houston,5,3,20.3,4.3,76.8,0,5,71.82,6,38.4,7.2,0,7,3,27.4,1,1,324.18,413,0,Q1
37,Male,Australia,Brisbane,4.9,1,20.3,6.6,77.9,3,17,99.58,11,16.4,4.2,5.8,4,0,41.3,0,3,1783.71,1795,0,Q1
20,Female,Australia,Adelaide,3.1,4,24.5,5,63.5,3,11,69.86,6,78.7,5.8,5.6,2,1,27.4,1,2,634.75,3914,0,Q3
37,Male,USA,Houston,3.4,17,44.2,12.4,38.8,4,22,165.14,30,40.68,6.6,44.3,4,7,52,0,1,2376.64,1697,1,Q4
37,Female,USA,Chicago,1.6,30,33,10.8,55.2,5,15,93.18,20,51.5,2.2,6.6,6,6,16.1,0,2,1232.04,2456,0,Q3
40,Female,UK,Birmingham,2.6,14,37.6,12,47.8,4,16,94.44,28,66.84,1.5,49.8,4,5,27.4,1,3,1367.07,3004,0,Q4
30,Male,USA,Los Angeles,1.2,9,28.9,8.8,34,6,27,47.62,5,6.5,7,40.5,4,5,30.5,0,5,1288.78,2586,0,Q2
31,Female,USA,Los Angeles,1.7,9,16.9,2.6,58.8,2,15,100.03,16,31.3,7.6,18.7,12,2,0,0,1,1257.27,1906,0,Q3
46,Female,Canada,Ottawa,1.6,3,26.8,3.6,86.2,0,10,135.6,21,19.32,1.9,17.6,6,0,50.1,0,1,1245.73,1400,1,Q4
52,Female,Japan,Nagoya,1.2,1,33.1,8.5,46.4,6,13,119.37,7,92.9,11.9,12.1,5,2,22.5,0,1,1566.63,1870,0,Q2
47,Female,USA,Phoenix,3.6,10,26.2,10.7,48.7,4,11,83.65,46,32.5,10.6,25.9,5,2,23.4,0,4,757.15,2243,0,Q3
47,Male,USA,Chicago,7.2,18,39.3,11.5,16.5,15,22,80.57,2,73.9,9.1,40.2,2,4,32.8,0,2,1625.64,4221,0,Q2
33,Female,USA,Los Angeles,2.3,11,28.2,7.4,82.3,2,10,134.59,0,59.3,10.2,5.4,6,3,27.4,1,4,1407.97,1809,0,Q2
30,Male,Australia,Brisbane,3.1,28,31.9,13.1,30.4,5,23,89.69,25,3.3,17.1,22.8,8,4,59.9,0,1,2266.61,1859,1,Q2
43,Female,France,Toulouse,8.2,5,26.7,8,50.7,6,15,173.21,1,40.8,1,25.3,7,3,27.4,1,2,1823.59,2845,0,Q4
